"Story","Title","Result","Date","Stability","Duration (s)"
"Bingo CRUD test","Get all live feed and assert default game frequency","SUCCESS","2021-07-28T11:39:03.732+01:00[Europe/London]","0.0","3.43"
"Bingo CRUD test","Get all live feed and assert start time","SUCCESS","2021-07-28T11:39:07.191+01:00[Europe/London]","0.0","0.3"
